"PTO","DANE","INSTITUCION","MUNICIPIO","CAL","NATURALEZA","EST","LC","MAT","SC","NAT","ING","PROM_POND_2023","PUNT_GLOBAL_2023","place_id","nombre_google","direccion","lat","lon","rating","n_reviews","POND_PROM_2024","PUNT_GLOBAL_2024","POND_PROM_2025","PUNT_GLOBAL_2025"
1,99002,"Lic Campo David","Bogotá, Colombia","A","NO OFICIAL",29,74,80,72,74,80,75.385,377,"ChIJt2FzcTOfP44Rp2takVJHo_c","Liceo Camp David","Cl. 46 Sur #21-27, Bogotá, Colombia",4.5736304,-74.1261083,NA,NA,79.462,398,77.462,387
2,79806,"Col Nuevo Colombo Americano","Bogotá, Colombia","A","NO OFICIAL",57,73,78,73,71,86,74.692,373,"ChIJda7adqOZP44RwrsJy_wjOvM","American-Colombian center","Cl. 19 #2A - 49, Bogotá, Colombia",4.6025172,-74.0677953,4.3,394,78.615,393,76.769,386
3,19810,"Col Anglo Americano","Bogotá, Colombia","A","NO OFICIAL",175,74,77,72,72,84,74.538,373,"ChIJ910Oan6PP44R4pQF-3PhZog","Anglo American School","Cl. 170 #8-80, Bogotá, Colombia",4.748906,-74.0281762,NA,NA,74.846,374,NA,NA
4,136267,"Col Reuven Feuerstein","Bogotá, Colombia","A","NO OFICIAL",17,72,77,71,70,78,72.923,365,"ChIJZXMBm1CEP44RLKVUN84Rr_Y","Reuven Feuerstein school","Cra. 100b #15385, Bogotá, Colombia",4.7535497,-74.0881722,2.3,4,74.769,374,74.692,373
5,733097,"Colegio Cristiano Monte Hebron - Sede Principal","Bogotá, Colombia","A","NO OFICIAL",9,71,78,68,70,83,72.615,363,"ChIJkyeGTRSFP44RHHsUS9wvH1k","Colegio Cristiano Monte Hebrón","Cl. 147 #76 - 20, Bogotá, Colombia",4.7398417,-74.0737551,NA,NA,74,370,73.462,368
6,24059,"Lic Navarra","Bogotá, Colombia","A","NO OFICIAL",39,71,75,70,70,82,72.308,362,"ChIJuXEsO4KbP44R6DVK4vgw368","Liceo Navarra","Cra. 74 #24B-80, Fontibón, Bogotá, Colombia",4.6659481,-74.1172603,NA,NA,73.538,368,73.077,366
7,23754,"Lic De Colombia","Bogotá, Colombia","A","NO OFICIAL",62,71,74,70,69,84,72,360,"ChIJj9Vi0Q-GP44RRbQqrLSXYzI","LICEO DE COLOMBIA","Cl. 219 #50-30, Suba, Bogotá, Cundinamarca, Colombia",4.795639,-74.0442872,NA,NA,72.308,361,73.077,365
8,63438,"Col Nueva Inglaterra","Bogotá, Colombia","A","NO OFICIAL",60,70,74,68,68,85,71.154,356,"ChIJu_AbPQ6GP44RR_AJlusJyaQ","New England College","Cl. 218 #50 - 60, Suba, Bogotá, Cundinamarca, Colombia",4.7947551,-74.0467219,NA,NA,72,361,73,365
9,66845,"Inst Alberto Merani","Bogotá, Colombia","A","NO OFICIAL",29,72,70,69,67,80,70.308,352,"ChIJdfEV2MCFP44RHD1dl6jZQoA","Instituto Alberto Merani","Cra. 70 #180-85, Bogotá, Colombia",4.7684329,-74.058686,NA,NA,71.769,359,72.692,363
10,601013,"Colegio Internacional Camino A La Cima","Bogotá, Colombia","A","NO OFICIAL",20,71,70,68,68,80,70.077,350,"ChIJO1KlSTKfP44RepA0KCeXugg","Colegio Internacional way to the top","Cl. 47a Sur #23 - 30, Bogotá, Colombia",4.5760719,-74.1282253,4.5,93,71.615,358,NA,NA
11,80127,"Col Corazonista Hh Del Sagrado Corazon","Bogotá, Colombia","A","NO OFICIAL",157,68,75,66,68,79,70,350,"ChIJ3W3QRkiaP44RMlVe0uPNyEk","Antonio Nariño School - Corazonistas' Order","Cra, 16 #60 - 55, Teusaquillo, Bogotá, Colombia",4.6479936,-74.0675146,NA,NA,71.538,357,71.692,359
12,19828,"Col Antonio Nariño H.H. Corazonistas","Bogotá, Colombia","A","NO OFICIAL",55,70,73,67,68,76,70,350,"ChIJ3W3QRkiaP44RMlVe0uPNyEk","Antonio Nariño School - Corazonistas' Order","Cra, 16 #60 - 55, Teusaquillo, Bogotá, Colombia",4.6479936,-74.0675146,NA,NA,71.385,357,71.077,355
13,23564,"Inst San Pablo Apostol","Bogotá, Colombia","A","NO OFICIAL",45,69,75,67,68,72,69.923,350,"ChIJu6AAcNeYP44RjVm09XMo-AI","San Pablo Apostol Institute","Cra. 24B #29a-02, Bogotá, Colombia",4.5846547,-74.1129704,NA,NA,70.846,355,70.846,354
14,23747,"Lic De Cervantes Padres Agustinos","Bogotá, Colombia","A","NO OFICIAL",62,69,76,64,68,77,69.846,349,"ChIJ0bhAz3GFP44R-qzhL35fDkk","Liceo de Cervantes","Cl. 153 #19-39, Bogotá, Colombia",4.7361846,-74.0460652,NA,NA,70.923,353,70.462,353
15,143537,"Gimn Nuevo Modelia","Bogotá, Colombia","A","NO OFICIAL",38,72,71,66,67,78,69.692,348,"ChIJKZcPSoKbP44Rb9hSg-bjB00","Colegio Gimnasio Nuevo Modelia","Cra. 74 #24D-8, Bogotá, Colombia",4.6663986,-74.1171009,4.2,88,70.231,352,70.462,352
16,62919,"Col Biling Nueva Alejandria","Bogotá, Colombia","A","NO OFICIAL",19,69,71,68,66,79,69.308,347,"ChIJvyT01XibP44Rx9NlTbUIK4M","New Alexandria Bilingual School","Cl. 25d #80C-05, Bogotá, Colombia",4.6701544,-74.1177576,NA,NA,70.231,352,69.769,348
17,23895,"Lic Juan Ramón Jiménez","Bogotá, Colombia","A","NO OFICIAL",47,69,69,68,67,80,69.154,346,"ChIJn0dOEzGEP44RzKaB0bn1nmU","Liceo Juan Ramón Jiménez","Suba, Bogotá, Bogota, Colombia",4.7728919,-74.084903,NA,NA,70.231,350,NA,NA
18,21345,"Col Hispanoamericano Conde Ansurez","Bogotá, Colombia","A","NO OFICIAL",39,70,69,66,66,81,68.769,344,"ChIJJZsiDryFP44RxIPTEy225ag","Colegio Bilingüe Hispanoamericano Conde Ansúrez","Cra. 67 #173A - 80, Suba, Bogotá, Cundinamarca, Colombia",4.7603273,-74.0586882,NA,NA,69.692,349,69.231,345
19,22004,"Col San Patricio","Bogotá, Colombia","A","NO OFICIAL",18,68,67,66,67,85,68.385,342,"ChIJy0DwOOGEP44RRMb3moz-w3o","Saint Patrick School","Cra. 80 # 137 - 02, Bogotá, Colombia",4.7307886,-74.0817812,NA,NA,69.308,347,69,345
20,20198,"Gimn Los Andes","Bogotá, Colombia","A","NO OFICIAL",76,68,71,65,67,76,68.385,342,"ChIJw_Zm4AiGP44RRbwz7qXidkc","Gimnasio los Andes ®","Cl. 209 #45-80, Suba, Bogotá, Colombia",4.7890025,-74.0446993,NA,NA,69.462,346,68.846,344
21,20628,"Col Del Rosario De Santo Domingo","Bogotá, Colombia","A","NO OFICIAL",27,70,70,66,64,76,68.154,341,"ChIJhyV4rGqaP44RmqtfA293kIA","Colegio Rosario Santo Domingo","Cl. 68 #0 -51este, Chapinero, Bogotá, Colombia",4.6463547,-74.0527057,NA,NA,69.231,345,68.692,344
