place_id,nombre,rating,reseñas,price_level,lat,lon,address,types
ChIJVTKpdkOFP44RAguDV0NMvQs,Fundacion El Gatio,4.7,44.0,,4.7218187,-74.04427489999999,"Cra. 17a # 137-46, Bogotá","point_of_interest,establishment"
ChIJ0_G56JaPP44R58lIthhOVQA,CASA MIL BIGOTES,4.7,169.0,,4.7240497,-74.0267734,"Cra. 7a #148 -09, Bogotá","point_of_interest,establishment"
ChIJpy36o6mcP44RP5LevHxHBd0,Unidad de Cuidado Animal - Instituto Distrital de Protección y Bienestar Animal,4.1,805.0,,4.7013427,-74.126477,"Cra. 106a #67-02, Engativá, Bogotá, Cundinamarca","local_government_office,health,point_of_interest,establishment"
ChIJcwo_432ZP44RxzS-a0UrbJE,El Orfagato,4.5,313.0,,4.6328847,-74.09288839999999,"Cra. 43a #24A-37, Bogotá","food,point_of_interest,store,establishment"
ChIJgwmFR1SfP44RqxNZUpNXE7M,"Hogar de paso Rescate miau,s",3.3,28.0,,4.604581200000001,-74.0727598,"Cra 8 #72 94, Bogotá","point_of_interest,establishment"
ChIJnw-mdkOFP44RXsGMEPHyiNs,El Gatio Adopciones,4.4,312.0,,4.7218145,-74.0442751,"Cra. 17a #137-46, Bogotá","veterinary_care,point_of_interest,establishment"
ChIJ-Ukf8ph5QI4RmH9WHhJmVcA,Fundación Vivatma,5.0,1.0,,4.916962,-74.096358,"Tabio, Cundinamarca","point_of_interest,establishment"
ChIJ7zYWw6-bP44REtDs9Nl_sdA,Fundación la villa de los gatos,4.6,16.0,,4.9594866,-73.93499469999999,"Cl. 12 Sur #11 67, Tocancipá, Verganzo, Tocancipá, Cundinamarca","point_of_interest,establishment"
ChIJ1flyQpx9P44R_DfKDhyLHXg,Fundación El Reino De Los Gatos,5.0,5.0,,4.8160002,-74.350419,"Cra. 11 #7-17, Facatativá, Cundinamarca","point_of_interest,store,establishment"
ChIJseYkxlWbP44RlBYKWWe7i9M,Fundacion Mujer Linda Cats,4.4,23.0,,4.5915412,-74.07311829999999,"Cl. 6d #1 - 66 este, Bogotá","point_of_interest,establishment"
ChIJDaDFPg6FP44Rq1SW5EoNChc,Fundacion Gatitus Uniendo Vidas,5.0,1.0,,4.7372914,-74.0611541,"Cra. 58 #152 70, Bogotá","point_of_interest,establishment"
ChIJI_jm2h-DP44RWzqg4xZvAvE,Fundación Hogar De Paso Perro Amor Sede 1,4.1,191.0,,4.775896299999999,-74.1289441,"Parcela 50, Globo 1, Vereda Parcelas, Cota, Cundinamarca","point_of_interest,establishment"
ChIJpSKSSoCbP44Rgzz4wIBRAzc,Corazón Peludito Foundation,4.7,113.0,,4.6526622,-74.0674461,"Cl. 63c #17-29 Casa, Barrios Unidos, Bogotá, Cundinamarca","point_of_interest,establishment"
ChIJN_xW5HebP44Rd-1k0ezuBWg,El Gatisario Cat-fetería,4.7,15.0,,4.7025976,-74.0570505,"Cl. 121 #47-25, Bogotá","point_of_interest,establishment"
ChIJfWkH09eaP44Rh4B7d-iE2qc,Instituto Distrital de Protección y Bienestar Animal,3.8,488.0,,4.5724403,-74.0980405,"Torre Sur, Cra. 10 #26-51 Piso 8, Bogotá","point_of_interest,establishment"
ChIJpVlmNEJ4QI4RyfT7nsnG_Gc,Fundación PATA,3.8,33.0,,4.8886347,-74.0605655,"3,5, Vereda Fagua Vía Guanatá kilometro, Chía, Cundinamarca","point_of_interest,establishment"
ChIJVfDU0esLP44RRxvhUpCxxnU,Fundación Yo Soy tu amigo fiel,4.4,7.0,,4.5328331,-74.30080800000002,"GMMX+4MV Granada, Cundinamarca Via vereda carrizal Granada, Sibaté, Granada, Cundinamarca","point_of_interest,establishment"
ChIJWYi7kP2FP44RwDT_RhdSpmw,Animalistas sin fronteras,5.0,4.0,,4.7123599,-74.081013,"10001, Bogotá","point_of_interest,establishment"
ChIJ51eiFrOnP44RVzd-BdJcqVM,Fundacion Pacto Animal,4.5,31.0,,4.459542,-74.154721,"Unnamed Road, Bogotá","point_of_interest,establishment"
ChIJEYuSvUifP44RDmfiGtzOf88,Huella Roja Foundation,4.8,13.0,,4.5682879,-74.1651224,"Cra. 43 #74 a 43 sur, Bogotá","point_of_interest,establishment"
ChIJ0SWFTWGFP44RToXjy8eaOHo,Fundación Dr. Pets Club,4.0,3.0,,4.710988599999999,-74.072092,"01, Bogotá","point_of_interest,establishment"
ChIJ9QemeaajP44R1fbALIDTKEM,Fundacion Peludos Por Una Vida Digna,3.6,11.0,,4.4954518,-74.0827333,"Usme, Bogotá, Bogota","health,point_of_interest,establishment"
ChIJCZ3t9F-EP44Rw82kca0Cxvw,A.R.T. Fundación,3.0,2.0,,4.7474022,-74.09915339999999,"Cra. 109A #143-14, Suba, Bogotá","point_of_interest,establishment"
ChIJc_EiQ3mZP44RKm3xxZEF6TU,Fundacion Refugio Los Animalitos De Sara,4.0,4.0,,4.6370657,-74.0770812,"Cra 27 #47 A 25, Bogotá","point_of_interest,establishment"
ChIJYawjR9-JP44RZVWtfueflyc,Animal Voice Foundation Colombia,4.5,141.0,,4.8628301,-73.964349,"Unnamed Road, Sopo, Sopó, Cundinamarca","point_of_interest,establishment"
ChIJ4-X0AIGFP44RdDFJRCtUCa4,Adopción de Perros,3.7,231.0,,4.5909277,-74.1059713,"Cra. 12 #169-20 a 169-98, Bogotá","point_of_interest,establishment"
ChIJT4I9_GaaP44RlhYatbAlmuU,Fundacion De Proteccion Animal Dejando Huella,5.0,7.0,,4.833255299999999,-74.2149354,"Valle del Abra, Madrid, La Cuesta, Madrid, Cundinamarca","point_of_interest,establishment"
ChIJTV1wWgBzQI4RGAZRcbNRXTs,Fundacion La Villa De Los Gatos,,,,4.946768,-73.92572799999999,"W3WF+PP, Tocancipá, Cundinamarca","point_of_interest,establishment"
ChIJCeDIxnicP44RpzTsLFPc0cI,Fundacion Huellas De La Vida,4.0,12.0,,4.6619464,-74.1257263,"Bogotá, Bogota","point_of_interest,establishment"
ChIJpYnIrpifP44RWJzwJQJj6QA,Salva garritas soacha,3.0,2.0,,4.5670746,-74.17764249999999,"Cl. 56a, Bogotá","point_of_interest,establishment"
ChIJVfZIZk6EP44RplTqjtwtJnI,Adopción de perros - Fundación Rufo,4.4,7.0,,4.758747,-74.0841307,"Cra. 99 #159 27, Bogotá","point_of_interest,establishment"
ChIJt8D1mWKBP44Re6HQrUEJgGA,Fundación Dame Vida,3.9,57.0,,4.8542687,-74.1481594,"Tenjo, Cundinamarca","lodging,point_of_interest,establishment"
ChIJ6YyGV5aFP44RzeI2bFqD7Ds,CATMANIA & CASA CULTURAL DEL GATO,4.5,102.0,,4.697690700000001,-74.0394008,"Cra. 12 #118-41, Bogotá","point_of_interest,establishment"
ChIJzx2xGQC_P44ReEBqGtTWdXg,Fundación Huellas Positivas,5.0,26.0,,4.5081522,-73.9176404,"G35J+7W, Choachí, Cundinamarca","point_of_interest,establishment"
ChIJ4-UfRBmEP44RYbf1qn4jSLg,Milagrinos,4.7,285.0,,4.7814287,-74.10528889999999,"Suba, Bogotá, Bogota","point_of_interest,establishment"
ChIJ3QlD8m-AP44RrS0ZxmJmdvY,Fundacion San Roque,4.0,53.0,,4.8568032,-74.18478189999999,"Vía Destapada Tenjo - La Cuesta, Madrid, Cundinamarca","point_of_interest,establishment"
ChIJp4BFxbCCP44RJFPlqZPAyFI,Fundacion Bigotes,3.6,37.0,,4.721808,-74.2184943,"Villa paul, Cra 22 # 13-61 oficina correspondencia Funza Cundinamarca villa Paul et 1, casillero 105, Funza, Cundinamarca","lodging,park,place_of_worship,point_of_interest,establishment"
ChIJTTuwxjmFP44R4un0w-C_lpQ,International Foundation María Luisa de Moreno • FIMLM,4.9,208.0,,4.717212,-74.057526,"Cra. 51 # 130 - 29, Bogotá","point_of_interest,establishment"
ChIJB_ES_5ILP44RHDMzaFTT1CA,FUNDACIÓN SOL CANINO Y FELINO,4.2,554.0,,4.5229932,-74.292577,"Via Vda. Carrizal, Sibaté, Granada, Cundinamarca","point_of_interest,establishment"
ChIJ97DQ0teaP44RbDUs8S0oFM8,Protección Animal,3.5,14.0,,4.6989919,-74.0764695,"Ac 116 #70g – 82, Bogotá","point_of_interest,establishment"
ChIJJ3TjM4F5QI4RX-vss0oPuGg,Fundación Huellas perros al servicio,4.1,34.0,,4.9433321,-74.0714844,"Variante a Zipaquira, La República, Tabio, Cundinamarca","point_of_interest,establishment"
ChIJp8i-e2d1P44Re72GhKihXVQ,Fundación Proyecto de Vida - Soacha,5.0,13.0,,4.5682902,-74.224983,"Carrera 4, Autopista Sur #98 # 1, Soacha, Cundinamarca","point_of_interest,establishment"
ChIJQ2bL8kibP44RejWLvaJEux8,GatoLatte Cat Cafe,4.6,1244.0,,4.6671611,-74.1175774,"Cra. 74b #24d-22, Bogotá","point_of_interest,establishment"
ChIJ726NXABzQI4RHsnTgbl60a0,Fundación la casa de los gordos,,,,4.954418,-73.9026944,"X33W+QW, Tocancipá, Cundinamarca","point_of_interest,establishment"
ChIJC-1pFr-aP44Rb1IPnk5-Nlw,ANIMALUNOS,4.4,18.0,,4.6897302,-74.051656,"Cra 19 #103-59, Bogotá","store,veterinary_care,point_of_interest,establishment"
ChIJN1cdHmyFP44Rc33O9VHxaOI,La mochila de milino,4.9,38.0,,4.756003499999999,-74.0491589,"Cra. 50a #174 b 06, Suba, Bogotá, Cundinamarca","store,point_of_interest,establishment"
ChIJaYq9aTefP44Rbymsq5LYr6Q,Camo El Gato,1.7,6.0,,4.6164801,-74.1415731,"Cra. 72k #35 b sur - 46, Kennedy, Bogotá, Cundinamarca","store,point_of_interest,establishment"
ChIJ5VJiY0OFP44RkiVoVVeW0Bo,La Gatitienda - Cat Hotel & Shop,4.8,57.0,,4.7218236,-74.0442746,"Cra. 17a #137-46, Bogotá","store,point_of_interest,establishment"
ChIJ0zalpyKfP44RDtKKmpy68v4,Clínica veterinaria Vet Vida y Fundación Michi Ayuda,4.3,51.0,,4.625416599999999,-74.137973,"Av. Boyacá #2b-18, Bogotá","veterinary_care,point_of_interest,establishment"
ChIJjeKBUzeZP44Rmuhy9nAw0Oo,Patitas en acción,3.7,3.0,,4.6073954,-74.0731162,"0, Bogotá, Cundinamarca","point_of_interest,establishment"
ChIJERLsAdWRP44RbDOOdcdcO9U,Fundación Transformemos,4.9,10.0,,4.7021723,-73.9803014,"Km 13 vía Bogotá a La Calera, La Calera, Cundinamarca","point_of_interest,establishment"
ChIJb8jThV-DP44RLK7mP_ID2zM,Finca Los Pensamientos,4.7,40.0,,4.901825,-74.2446144,"Calle 80A #116 B 82 apto 205, Bogotá","park,point_of_interest,establishment"
ChIJLwN66Xx4QI4RgwT7sSynWFo,Fundación Razas Unicas,4.4,24.0,,4.8442,-73.90245,"Herédalas flores lote, San Luis, Guasca, Cundinamarca","point_of_interest,establishment"
ChIJ5QPGlRuZP44Rnlud2WWj-xo,Fundacion Alma Perruna,5.0,2.0,,4.7050091,-74.0496184,"Cra. 19a #125 40, Bogotá","point_of_interest,establishment"
ChIJOyacdFWDP44RpHGScEO1yZQ,Fundación Refugio,4.0,1.0,,4.7099806,-74.12533909999999,"Cra. 110, Bogotá","store,point_of_interest,establishment"
ChIJu_bYK6OaP44R5bJxKsaA8I0,GATOS GATOS Y PERROS,4.6,342.0,,4.688568,-74.041403,"Ak 9 #106-46, Bogotá","pet_store,veterinary_care,store,point_of_interest,establishment"
ChIJ5zOlCeGZP44RroprKc9zvqc,FUNPAAF,5.0,2.0,,4.5194473,-74.3510313,"Granada, Cundinamarca","point_of_interest,establishment"
ChIJMQQVO2kyPo4REWWCG_Z1H6A,Fundacion Hogar de Perros y Gatos,4.5,182.0,,4.1685764,-73.6673792,"Km3, Antigua Vía Villavicencio - Guayabetal, Villavicencio, Meta","point_of_interest,establishment"
ChIJSSeLUYKZP44RnhXiQS0D9jw,Asociación Defensora de Animales,3.1,56.0,,4.61985,-74.0745428,"Ak. 19 #2967, Bogotá","veterinary_care,point_of_interest,establishment"
ChIJH7DPlq-FP44RI4iFsoe6B1Q,Fundacion Doggy In Home,5.0,1.0,,4.7546948,-74.0664,"Cl. 169A #74 32, Bogotá","point_of_interest,establishment"
