place_id,nombre,rating,reseñas,price_level,lat,lon,address,types
ChIJ20Ov9piZP44Rj-LohiwCbPA,Hotel Grand Park,4.3,3160,,4.6084119,-74.06840030000001,"Cra. 5 #23 - 34, Bogotá","lodging,point_of_interest,establishment"
ChIJ-X45SSWaP44RPEyamfc_Ltw,ibis budget Bogota Marly,4.3,887,,4.6366006,-74.06412519999999,"Cra. 8 #49, Chapinero, Bogotá, Cundinamarca","lodging,point_of_interest,establishment"
ChIJ9-s6BpuZP44R-P0BHf006o4,ibis Bogota Museo,4.4,4680,,4.6147487,-74.06890969999999,"Tv. 6 #27-85, Bogotá","lodging,restaurant,food,point_of_interest,establishment"
ChIJCdrLyUKaP44RBmUyiUpADwk,Hilton Bogota,4.7,4768,,4.6556989,-74.055533,"Carrera 7 #No. 72-41, Chapinero, Bogota, Bogotá, Cundinamarca","lodging,point_of_interest,establishment"
ChIJwQt6hKSDP44ROahUurobGn4,GHL Style Hotel Bogotá Occidente,4.7,1271,,4.754785,-74.15220769999999,"Área Metropolitana de Bogotá Zuca Plaza, Autopista Medellin Km 3.9 Costado Sur Siberia-Cota, Bogotá, Cundinamarca","lodging,point_of_interest,establishment"
ChIJNX_MJnCbP44R9aUubnojerA,"Hábitat Hospedaje hotel, habitaciones económicas, la esmeralda, Bogotá. Habitaciones cerca al CAN.",4.2,58,,4.6509301,-74.0938832,"Av. La Esmeralda #44b - 62, Teusaquillo, Bogotá","lodging,point_of_interest,establishment"
ChIJow4MSJGaP44RRs_WbvikZYU,DoubleTree by Hilton Hotel Bogotá - Parque 93,4.5,2237,,4.680562399999999,-74.0463067,"Carrera 11B. 96-59 Bogota, Bogotá, Cundinamarca","lodging,point_of_interest,establishment"
ChIJfUY-93ubP44RdGcDP-OSLKE,Hilton Garden Inn Bogota Airport,4.6,4065,,4.6735606,-74.11723649999999,"Cra. 82 #25G 84, Fontibón, Bogotá, Cundinamarca","lodging,point_of_interest,establishment"
ChIJyd3WAcObP44RV6MwMXFXCaA,Wyndham Bogota,4.6,5117,,4.638931599999999,-74.0978506,"Ac. 24 #51-40, Salitre, Bogotá","lodging,point_of_interest,establishment"
ChIJ63AKEaKcP44RKI2dqhzpPeQ,Habitel Hotel,4.4,8899,,4.6881954,-74.130501,"Avenida El Dorado #100-89 Bogotá, Bogotá, Cundinamarca","lodging,restaurant,food,point_of_interest,establishment"
ChIJJz1W7pOaP44RsGvp834Pe3U,HOTEL EL DORADO BOGOTA,4.7,1653,,4.6804691,-74.0487289,"Cl. 95 #13-66, Bogotá","lodging,point_of_interest,establishment"
ChIJu1F4b_SaP44RN9_P-T1gA8E,JOY HOTELES,4.8,212,,4.6705329,-74.0571965,"Cra. 18 #84-67, Bogotá","lodging,point_of_interest,establishment"
ChIJUypOvsGbP44RbSqDUsUPYR0,Grand Hyatt Bogotá,4.8,11431,,4.6440741,-74.1000524,"Cl. 24a #57 – 60, Bogotá","lodging,point_of_interest,establishment"
ChIJRyrq75maP44Rmbvo5ZuU9xo,Bogotá Plaza Hotel,4.6,4807,,4.686249699999999,-74.05098439999999,"Cra. 18a #100 41, Usaquén, Bogotá, Cundinamarca","lodging,point_of_interest,establishment"
